TWEET,RELEVANT,
RT @eastlancsTSA: CPD opportunity: ‰Û÷Effective E-Learning Office 365‰Ûª on Tuesday 30th April 2019 at Ribblesdale High School starting 4.15pm.‰Û_,0,
"RT @themirifique: Outrageous self-indulgent #xehaqus AU : ProhibitionAU. Eraqus the incorruptible cop chasing one of the shiny capo of the‰Û_",0,
"RT @JamilSmith: I spoke to @ava about putting her executive-producing power behind THE RED LINE, a searing new CBS limited series that exam‰Û_",0,
"RT @larryelder: ""Hundreds Of Teens Run Through Downtown Chicago, Fighting And Disobeying Police""Dear #BlacksLivesMatter,Thoughts?http‰Û_",0,
RT @RaferWeigel: Confirmed by @Chicago_Police a conceal and carry permit holder fatally shoots a carjacker attempting to steal his car on C‰Û_,0,
"Mr President, you told me to be here, as a matter of fact you made me cancel my appointment to see an eye specialis‰Û_ https://t.co/RRcqx4yeLw",0,
Chicago (IL) Sun-Times: Evanston police warn residents of arrest warrant phone scam. More #Chicago #news - https://t.co/aC65uW8cEQ,0,
"RT @The06Gentleman: Bruh , We from Chicago. Every element of the City been Racketeering &amp; Conspiring against us from Day 1: From the school‰Û_",0,
"Social media, spring break and more than 30 arrests renewed the spotlight on how Chicago police officers respond to‰Û_ https://t.co/BfylTDz79O",1,
"@IAmEricRoman @NYPD113Pct @NYPDnews @McDonalds @LAPDHQ @Chicago_Police @DCPoliceDept Eric, FYI, I found out that wh‰Û_ https://t.co/vNwvQNTImG",0,
"RT @Martin_CSH: Grangemouth CPD OpportunitiesThere is still time to book on to the CPD courses available through Grangemouth Community Sp‰Û_",0,
Update your knowledge of Canine Lymphoma - discounted rate for previous 6-26 May 2019. Only 129 + VAT. Book Today!!‰Û_ https://t.co/tzutEu3z3r,0,
RT @MitchMcDerm: Progression and development are key components of the MMCD ethos. Thanks to Jeff for hosting the latest CPD lecture on Ins‰Û_,0,
@shiv_smith @DionneDaniel5 @The_Pars @natsloub @swayoung01 @Mdolan01Dolan @SamSpence01 @RCNStudents @bjgw‰Û_ https://t.co/HcMVy2M3Eu,0,
Man accused of trying to run over @Elmhurst_Police officer during traffic stop arrest sentenced to three years in p‰Û_ https://t.co/k1SI4Opbig,1,?
"RT @ColorOfChange: Police are trying to force Kim Foxx, Chicago's first Black Woman State's Attorney, to resign b/c of her commitment to de‰Û_",0,
"RT @soit_goes: Joshua Beal was a father of two that was murdered by Chicago Police in 2016.His mother is asking for our help to put a hea‰Û_",1,
RT @EarlyYearsWendy: @EarlyYearsWendy have you signed up to the Early Years Summit with @kathybrodie all FREE CPD. https://t.co/zCklxZCNnS,0,
@CookCountySAO RACIST FBI SOLICITED GANGS TO WORK W/CHICAGO/EVERGREEN PK POLICE IN HARASSMENT SETUPS &amp; POISONINGS T‰Û_ https://t.co/MDScvYQq9H,0,
"Doing a story, alas, on police suicides, they found an old photo of my grandfather, Sgt Lyons CPD, Shakespeare Dist‰Û_ https://t.co/a5K78CQrJ9",1,
RT @farmpostmortems: Want to know more about post mortem examination and pathogenesis of disease in livestock? Come along to our CPD day in‰Û_,0,
RT @cpdme: It's Webinar Wednesday! We have an excellent #CPD session for you this evening on Paediatric Myth Busting (Part 2) with @NWAmb_P‰Û_,0,
"RT @RollingStone: Why Ava DuVernay put her producing power behind #TheRedLine, CBS‰Ûª new drama about a police shooting in Chicago https://t.‰Û_",0,
RT @IABinfo: Join @BkprsAlliance for their annual conference of bookkeepers. 10 June is another chance to keep up to date with changes in t‰Û_,0,
"RT @APCentralRegion: Police say there is no evidence that missing 5-year-old Andrew ""AJ"" Freund was abducted from his suburban Chicago home‰Û_",0,
Still some vacancies available on our Performing 12 Lead-ECG course at Leeds Beckett University å£100 per person see‰Û_ https://t.co/oeqf9pTMDz,0,
!!VIEW FRAUD IN NORTHERN IL DIST COURT 13CV2621 LAWSUIT COMPLAINT DOC 28 IN COMPARISON TO JUDGE'S ORDER DOC 48. CHI‰Û_ https://t.co/cX2DSABa65,0,
"Hundreds Of Teens Run Through Downtown Chicago, Fighting And Disobeying Police  https://t.co/97UO6VJ4Lz",1,
@SIGA_USA full day 8 #cpd point academy has started! The sold out group is learning about #airtight construction an‰Û_ https://t.co/NfOOUOfMsD,0,
"RT @seanhannity: WATCH: ‰ÛÏChicago police were dealing with hundreds of teens running through downtown Chicago Wednesday night, yelling, stop‰Û_",0,
"THAT'S CPD ON THE JOB.... SERVING PROTECTING AND DELIVERING BABIES!!!!! OUR CHICAGO FINEST DOES IT ALL!GO CPD‰Û_ https://t.co/5CqGtDC87W",1,
"Over the past decade, the city of Chicago has spent more than $25 million on 62 police chase crashes, according to‰Û_ https://t.co/kGUlH4d0Vr",1,
"""This book is CPD, it‰Ûªs a resource bank, it‰Ûªs refreshing and it‰Ûªs fantastic."" Well done @VocabularyNinja! https://t.co/ypgku0viiU",0,
@angela214 @johncardillo @AngelGotti5 Google the Cabrini Houses in Chicago. They‰Ûªre now gone but I got lost in thei‰Û_ https://t.co/ZTSZUuvFmX,0,
"RT @NAACP_LDF: Reporters from USA TODAY, its 100-plus affiliated newsrooms and the nonprofit Invisible Institute in Chicago have spent more‰Û_",0,
RT @NCETM: Teachers in secondary school maths departments! Funded CPD to start introducing teaching for mastery. Places available with ever‰Û_,0,
RT @cbschicago: A group Chicago police officers is asking for Cook County State‰Ûªs Attorney Kim Foxx to be removed from the prosecution of a‰Û_,0,
"RT @KingTrillaX: Welcome to Chicago where if we don‰Ûªt kill each other, the police gone happily do it. https://t.co/CbaEpV81zx",1,
RT @cbschicago: River Forest Police Say State‰Ûªs Attorney‰Ûªs Office Too Lenient After Habitual Offender Released On Bond Allegedly RobsåÊWoman‰Û_,0,
"RT @KingTrillaX: Welcome to Chicago where if we don‰Ûªt kill each other, the police gone happily do it. https://t.co/CbaEpV81zx",1,
RT @JonoSays: @StockportCounty Be great to have a proper club like Stockport back in the National league if we don‰Ûªt go up ourselves,0,
"RT @Strickomaster: School improvement in a simple tweet- Sort behaviour - Invest in staff CPD- Build relationships- Sort your curriculu‰Û_",0,
This is the type of CPD I am in favor of. No edu guru stuff. No over the top edu product sales. Thought provoking s‰Û_ https://t.co/fJJkcsOFp8,0,
"RT @Croner_i: Sharpen your professional skills at the Update for the #Accountant in Industry &amp; Commerce ‰ÛÒ Windsor, 14-15 May, 14 #CPD point‰Û_",0,
RT @theartcriminal: BOOK PLACES NOW. @NSEAD1 important highly successful inset day WHERE HAVE ALL THE BOYS GONE? addressing issues of disen‰Û_,0,
"RT @khgalea: Opportunity to join our amazing team. Be warned... It‰Ûªs FULL ON and HUGELY time-consuming, the exam load is hefty and it‰Ûªs a‰Û_",0,
"RT @KingTrillaX: Welcome to Chicago where if we don‰Ûªt kill each other, the police gone happily do it. https://t.co/CbaEpV81zx",1,
"https://t.co/iguFZ1VQJAThe Fundamental Surgery platform combines virtual reality (VR) with cutting-edge haptics to‰Û_ https://t.co/IScejYQTFO",0,
"RT @CWBChicago: Here, Kim Foxx senior advisor Robert Foley calls Chicago police detectives ""the worst"" and falsely accuses them of leaking‰Û_",0,
"RT @ACPF_Irlande: [Teachers] A few places still available for this CPD workshop on oral communication in the #French classroom, tomorrow in‰Û_",0,
"RT @SandraTXAS: The Chicago Police Department found more evidence in two weeks #JussieSmollettThan Robert Mueller found in over 2 years..‰Û_",1,
"@TMZ And furthermore, if #JussieSmollett didn't want to report the attack to the @Chicago_Police, then WHY was Juss‰Û_ https://t.co/MTZMQRpOsX",0,?
"A group of Police Chiefs from Arlington, Beverly, Cambridge, Chelsea, Everett, Malden, Medford, Methuen, Salem and‰Û_ https://t.co/mDv7GhprW5",0,
Chicago police release video amid concerns about officer suicides: 'How am I going to get up tomorrow?' https://t.co/u6QxIZTLfm,1,
"RT @Mimirocah1: 18 USC Section 1513: It‰Ûªs a crime to ‰ÛÏknowingly, with the intent to retaliate‰Ûù take ‰ÛÏany action harmful to any person, incl‰Û_",0,
"Chicago Police Department issued a warning ahead of summer that this behavior won't be tolerated.They have been i‰Û_ https://t.co/7cPMpNJbqR",1,
"RT @TIA_EWING: Where is #KierraColes? The 27yo would be holding her newborn in her arms right now. However, the postal worker went missing‰Û_",0,
"Don't miss out!Get your #NVQ #Level7 and become a Member of the Chartered Institute of Building (#MCIOB) with‰Û_ https://t.co/HywMSNcUmJ",0,
"""Many training courses can be inaccessible and expensive so we wanted to ensure we created something that would ove‰Û_ https://t.co/bnEZx3aOjp",0,
RT @danfascia: Here is my slide set from my talk at @EnglandRugby Wellington CPD on imaging of the developing rugby shoulder. @LinearProbe‰Û_,0,
"RT @msandfor: @CoolTrish1 @YouTube Sure, next one is 14th May - Rise of the Robots #100Daysofcode https://t.co/NhQ1kw3OV4 https://t.co/yx‰Û_",0,
RT @fox5dc: IT TAKES TWO SECONDS TO SHARE: Police need your helping finding 12-year-old Lapharis Moore who hasn't been seen since April 4.‰Û_,0,
"RT @CWBChicago: State's attorney Kim Foxx dumps thousands of pages of Jussie Smollett documents. Top aide calls CPD detectives ""the worst""‰Û_",1,
"RT @j_baylorcook: If the American flag offends you, maybe you shouldn‰Ûªt immigrate to America... https://t.co/Ox6wcam8M0",0,
@MrSmithRE @RE_McGEE The point being made was that the CPD the delegate had been subjected to was ‰ÛÏbollocks‰Ûù. I kno‰Û_ https://t.co/EtwrK9uDJ1,0,
Fulfill your entire CPD cycle in just one week! The Advanced #Risk and Portfolio Management (ARPM) Bootcamp qualifi‰Û_ https://t.co/McNaSEde9X,0,
"RT @TheTutorTrust: We are partnering with the wonderful charity @Place2Be, who provide mental health support in schools, to organise a uniq‰Û_",0,
"Our bestselling #dental safeguarding courses are recommended by the British Dental Association.They're worth 3 ho‰Û_ https://t.co/6vm5Zthsli",0,
RT @THEHermanCain: More fun from America's most embarrassing prosecutor: https://t.co/eyQEHRpDsf,1,?
"Nursing is a Sentinel, Not a Silo - Busting the Myth - Ausmed https://t.co/LWGXryQFKx",0,
@Chicago_Police hi quick question: I see cop cars break the rules of traffic daily. Why expect your citizens to obe‰Û_ https://t.co/qatGmn5Ti5,1,
"RT @CWBChicago: State's attorney Kim Foxx dumps thousands of pages of Jussie Smollett documents. Top aide calls CPD detectives ""the worst""‰Û_",0,
"RT @CWBChicago: In new #JussieSmollett document dump, top Kim Foxx aide calls @chicago_police detectives ""the worst"" as he falsely accuses‰Û_",0,
"RT @GiffordsCourage: Spread the word, Illinois: Firearm Restraining Orders can help save lives‰ÛÓbut only if people know about it.Visit htt‰Û_",0,
"RT @Lancs_IBCLC: Dear Health Visitor (2/2), I‰Ûªm also sorry that you thought your own prejudices about rearing children were appropriate t‰Û_",0,
RT @KamauRashid: The Murder Accountability Project has shown similarities between 51 murders over nearly two decades. Now CPD ... https://t‰Û_,1,
"RT @workforce101: Chicago PD Superintendent Eddie Johnson, Rahm Emanuel call Jussie Smollett charges being dropped 'whitewash of justice'‰Û_",1,
"This Thursday, 25 April, at our next CPD event in Aberdeen, Andrew Buchan will be discussing a new approach to less‰Û_ https://t.co/FtnBxJBSGt",0,
"RT @KingTrillaX: Welcome to Chicago where if we don‰Ûªt kill each other, the police gone happily do it. https://t.co/CbaEpV81zx",1,
"one influential group in Chicago  poses a threat to city‰Ûªs safety: Chicago‰Ûªs police union, the Fraternal Order of P‰Û_ https://t.co/ty0YZTWksl",0,
@smiffdaaaa @CPD_Decsam @nocontextfooty @craighowse73 @SamWhiteeeeee Where‰Ûªs his helmet?,0,
"If' you're wanting to #ReturntoTeaching Maths, check with your local Maths hub to see what CPD they've arranged - s‰Û_ https://t.co/evar50Cvjk",0,
@TheCheetoQueen I hope cpd throws him in jail,1,
RT @SafesiteLimited: Our product and system toolbox talks are designed to help you ensure your #fallprotection systems are being used corre‰Û_,0,
Data for research less reliable than before: CPD  https://t.co/JKbkQu4Ti4,0,
"RT @DanProft: .@SAKimFoxx is focused on prosecuting violent criminals, she says. https://t.co/bkuddGkZ4U",0,
RT @DanielSedgewick: Join us for our joint ED and Pre-Hospital CPD evening in Northampton on 9th May @NGHnhstrust @nghptm @nghEDteam @EMASN‰Û_,0,
"RT @AliceBazerghi: Police say an unruly customer at a restaurant in Ohio pulled an iguana from under his shirt, swung it around and threw i‰Û_",0,
RT @LlangefniTownFC: Massive congratulations to Llangefni CPD U16s who beat Amlwch 2-0 to win the Anglesey Junior league this morning. Da i‰Û_,0,
Cut my mile and a half run another two minutes today. I actually have hope about passing this power test for cpd _Ù÷_ *fingers crossed*,0,
"RT @BerksCRC: Not long to get booked on and not many spaces left!! Get ready for next season's regulations by attending one of the @AgeGr‰Û_",0,
Chicago Public Schools performed more searches on the Chicago Police Department's gang databases than the FBI or al‰Û_ https://t.co/WPELdjGW2H,0,but so dark
"Are you a teacher, or know someone who is? This free online CPD course from @STEMLearningUK contains valuable advic‰Û_ https://t.co/k7pYhMD6hS",0,
Our new Summer 2019 CPD booklet has just been released! We have new courses from Jane Considine - Hooked on Books a‰Û_ https://t.co/0aPZgkQGOq,0,
"RT @HoneyBeeLvr: FUCK CPD. This is the same shit drunk white people do on their spring breaks, it's just not treated as a crime because the‰Û_",1,
Hammond Police Officer Jaime Garcia Resigns Under Scrutiny; Sources Say Incident In Question Involves AåÊWoman‰Û_ https://t.co/orD74O0bOy,0,
"RT @ScottFlenHealth: Free educational event for nurses and medical practitioners about wound care management.(Day's agenda to follow)Netw‰Û_",0,
"RT @larryelder: ""Hundreds Of Teens Run Through Downtown Chicago, Fighting And Disobeying Police""Dear #BlacksLivesMatter,Thoughts?http‰Û_",1,
"RT @SandraTXAS: The Chicago Police Department found more evidence in two weeks #JussieSmollettThan Robert Mueller found in over 2 years..‰Û_",1,
"Jussie Smollet, isn‰Ûªt the ONLY Jackass Chicago‰Ûªs finest has had to deal with recently!  Shout out to #CPD! _ÙÕ»_ÙèÈ_ÙÔÜ_ÙèÀ‰Û_ https://t.co/qcv8ORI0RO",1,
"RT @larryelder: ""Hundreds Of Teens Run Through Downtown Chicago, Fighting And Disobeying Police""Dear #BlacksLivesMatter,Thoughts?http‰Û_",1,
"RT @Strickomaster: School improvement in a simple tweet- Sort behaviour - Invest in staff CPD- Build relationships- Sort your curriculu‰Û_",0,
"@princessjamie04 The police department called us the central hub. Between Chicago, Indy, Ft. Wayne, Toledo, Dayton,‰Û_ https://t.co/BKxmw1LB4i",0,
Police union exec says officers feel frustrated when enforcement efforts could lead to disciplinary action    https://t.co/IGDWs4t6JU,1,
RT @kokobutterfly1: and knowing how cpd operates I can say with absolute certainty that reports of fights are at the very least exaggerated‰Û_,1,
RT @LeukaemiaCareUK: Our online Nurse Academy is a free training course for #haematology and haemato-oncology nurses and has been accredite‰Û_,0,
"9am-4pm CPD Seminar, 4pm-6:30 review and collecting thoughts, 6:30-8:30pm dinner and watched live band, 8:30-11:30p‰Û_ https://t.co/cgNjeWzjzu",0,
RT @MrAndyNgo: Racist white men in Chicago attacked black gay actor and said ‰ÛÏThis is MAGA country‰Ûù? Media/activists who are out for blood‰Û_,0,
RT @PrecedentMag: Looking to diversify your firm? Attend #OITLD19 on June 12th! Learn how to incorporate internationally-trained lawyers in‰Û_,0,
Jussie Smollett is at it again folks. He dressed up like a sexy lady and tricked the head of the Chicago Police Dep‰Û_ https://t.co/efRGgfSlsR,1,
"RT @ChicagosMayor: Today at the @CPDMemorial Name Unveiling Ceremony, we honored @Chicago_Police members who have fallen in the line of dut‰Û_",1,
Another fabulous lunchtime webinar with @vetmindmatters #cpd #onlinelearning #culture #healthcare If you've missed‰Û_ https://t.co/DREI2MwUTp,0,
"RT @cbschicago: Libby German, 14, and Abby Williams, 13, were killed near Delphi, Indiana in February 2017. Indiana State Police plan to an‰Û_",0,
*UPDATE 4/18/19 4:55PM: Watkins Rd. is closed between Winchester Pike and Spangler Rd.  It is ONLY open to local tr‰Û_ https://t.co/AsGMAW9vX0,0,
Car2go vehicle theft in Chicago probed by police https://t.co/88V7eNu22S https://t.co/3CN4lYxcIV,0,
RT @illuminatemics: but why are the police mobilizing like this because young people are downtown on a beautiful day during their spring br‰Û_,0,
"RT @TritonSystems: Our qualified technical team supports the provision, specification &amp; use of our waterproofing systems through project te‰Û_",0,
"RT @Michnolan: #FinuasSkillnet Cluster programme for 2019 is confirmed - registration has opened for Carrick-On-Shannon, Laois, Donegal and‰Û_",0,
"RT @tmafaisal: ""I also couldn‰Ûªt help but notice the potential similarities between Bezos and Jussie Smollett, the actor ... who alleged he‰Û_",0,
"RT @KingTrillaX: Welcome to Chicago where if we don‰Ûªt kill each other, the police gone happily do it. https://t.co/CbaEpV81zx",1,
"RT @EarlyReport: Police Visited A.J. Freund‰Ûªs Family‰Ûªs Home in Crystal Lake 10 Times in Past 5 Years; Found Decrepit, Dirty Conditions: CBS‰Û_",1,
"RT @ChiefKyes: CPD, Transit Police &amp; MSP are investigating a fatal accident on Everett Ave at the on-ramp to the Tobin Bridge. The accident‰Û_",1,
"RT @maximjkelly: #EduTwitter: The best CPD available?A few thoughts on the value of Twitter and some good folks to follow... https://t.co/‰Û_",0,
RT @DrRJKavanagh: P.S. Here's the Chicago police union's statement on the DA's decision to drop charges against the 16 year-old girl these‰Û_,1,
RT @NaderDIssa: Chicago police say they arrested 30 people tonight as general mayhem popped off in several areas downtown. More arrests are‰Û_,1,
Police seek suspect in South Chicago kidnapping attempt https://t.co/dNVcpvVDhR via @suntimes,1,
RT @TSC_Latin: Many thanks to the staff of The Grange School for hosting an excellent Classics  CPD event yesterday. As always it was a ple‰Û_,0,
RT @AbbeyfieldEDU: @musicmind @ITLWorldwide @itPressUK @CrownHousePub Thank you for the amazing CPD. A really inspirational session!!,0,
RT @CPDAction: We do not need any #Trump cronies controlling our economy. Reject Fed pick #StephenMoore by signing this petition. [insert y‰Û_,0,
