HITId,Input.text,Answer.sentiment.label
30UZJB2POHDQIW4R6G3N0C6AAWK53G,What did @RahmEmanuel do about the black site CPD was running? You can read about that utter failure of justice inÃ¢â‚¬_ https://t.co/TRTUroU8NW,About the police - Negative
30Y6N4AHYPXD5B4MWCM2GMXITRXDRZ,RT @Suntimes: Full service has now returned. https://t.co/To8yxjFUTp,Not about the police
30Y6N4AHYPXD5B4MWCM2GMXITRXRDD,RT @ColumbusPolice: _Å¸â€™â„¢Our three CPD _Å¸__ riders made it to Washington DC from St. Louis. Honor Guard members Sgt. Ben Leppla &amp; Officer Nick MÃ¢â‚¬_,About the police - Neutral
30Z7M1Q8UYL9PZMEDTP0Z4U7IWC8AG,"""FordÃ¢â‚¬â„¢s injury stemmed from a Dec. 12, 2017 shooting that began with the then-18-year-old pulling his own gun on aÃ¢â‚¬_ https://t.co/tHfViPtx5Y",Not about the police
30Z7M1Q8UYL9PZMEDTP0Z4U7IWCA8I,"Ã¢â‚¬Å“Zombie raccoonsÃ¢â‚¬Ã_ in suburban Chicago tested positive for distemper, a contagious and serious disease transmitted tÃ¢â‚¬_ https://t.co/UwjxeNQTT6",Not about the police
30Z7M1Q8UYL9PZMEDTP0Z4U7IWDA8J,@TheRedLineCBS @ava AWESOME DEPICTION OF REALITY. @Chicago_Police,About the police - Positive
30ZKOOGW2W7REZ2TE8GLKU7Z4Q6A1Y,"@CWBChicago @Chicago_Police If he were friends with the Obamas, he'd apparently be freed.",Not about the police
30ZKOOGW2W7REZ2TE8GLKU7Z4Q71AQ,RT @doiit: Congrats to the Black Queens and Kings that graduated the Chicago Police Academy today. _Å¸â€˜â€˜Ã¢Å“__Å¸Ã¨__Å¸â€“_,About the police - Positive
30ZKOOGW2W7REZ2TE8GLKU7Z4Q7A1Z,"MISSING TEEN: Chicago police are searching for Angela White, 15, who was last seen in Chicago's Austin neighborhoodÃ¢â‚¬_ https://t.co/xaDcsGrmoZ",About the police - Neutral
311HQEI8RSH6QTP3FGDT2XPLGXD7ZT,"Baby ChaseÃ¢â‚¬â„¢s Mother Thrilled At His Recovery From Shooting, Frustrated With Police Investigation; Ã¢â‚¬ËœEveryoneÃ¢â‚¬â„¢s LookiÃ¢â‚¬_ https://t.co/Es9lRVjqKK",About the police - Negative
311HQEI8RSH6QTP3FGDT2XPLGXDZ7L,Chicago Police Department and Axon Partner for First VR Empathy Training Program https://t.co/JPBQnnlh1x,About the police - Positive
311HQEI8RSH6QTP3FGDT2XPLGXE7ZU,It just really hit me that Chicago has a black gay mayor that isnÃ¢â‚¬â„¢t afraid to fight the police brutality in this city,About the police - Positive
3126F2F5F84XL427FFTXH9FOSLAEP1,Chicago Police Review Unsolved Deaths of 55 Women for Possibility of a Serial Killer #Topbuzz https://t.co/oxLaegWSIj,About the police - Neutral
3126F2F5F84XL427FFTXH9FOSLBEP2,New post (Chicago Mayor-Elect Wants Feds to Re-Open Laquan McDonald Police Coverup Investigation) has been publisheÃ¢â‚¬_ https://t.co/4DK4HvdpW9,About the police - Negative
3126F2F5F84XL427FFTXH9FOSLBPED,Outgoing Ald. Proco 'Joe' Moreno in custody on Chicago police warrant: https://t.co/lVL191kHHc I had a feeling onceÃ¢â‚¬_ https://t.co/dbO7crPEQR,About the police - Neutral
31ANT7FQN835C4BQL1SP467KT115HM,@chicagosmayor The Chicago Police were in contact a man threatening suicide for 45 minutes before fatally shootingÃ¢â‚¬_ https://t.co/lNzcy7puRL,About the police - Negative
31ANT7FQN835C4BQL1SP467KT11H5Y,A spokesperson for the family of 19-year-old Marlen Ochoa-Uriostegui said tips from the public led police to the ChÃ¢â‚¬_ https://t.co/IYUuk2NHyQ,About the police - Positive
31ANT7FQN835C4BQL1SP467KT12H5Z,New Chicago mayor doesnÃ¢â‚¬â„¢t want Chicago police to protect her Ã¢â‚¬Ëœbecause itÃ¢â‚¬â„¢s a very dangerous time in our countryÃ¢â‚¬â„¢ https://t.co/o2jFdO3P0h,About the police - Negative
31D0ZWOD0A0R7AHBIPCL6POPZY0A0V,Feds Confirm: Chicago Police Department Is as Corrupt as You Thought It Was https://t.co/VfjsSGSvzT,About the police - Negative
31D0ZWOD0A0R7AHBIPCL6POPZY10AM,"Police investigate attempted arson at Lake View synagogue, Chicago https://t.co/z3vfGBaYjI",About the police - Neutral
31D0ZWOD0A0R7AHBIPCL6POPZY1A0W,19-year-old pregnant woman found dead had baby cut from her womb: Police https://t.co/rPGPAV1NgU,Not about the police
31GECDVA9JNLYJRNU1BQZLWUGIX663,RT @greek_grl2005: SHOCKING TWIST: Disappearance of missing pregnant Chicago teen https://t.co/FUDGLTCY8w,Not about the police
31GN6YMHLPTOFW4QSWRXYKRZM9LWSE,Remains Found Amid Search for Pregnant Chicago Woman Who Vanished After Meetup to Swap Baby ItemsÃ¢â‚¬_ https://t.co/eOI4JCjiLg,Not about the police
31GN6YMHLPTOFW4QSWRXYKRZM9MSWB,@KatieKimNBC @Chicago_Police @nbcchicago Does anyone know if thereÃ¢â‚¬â„¢s a go fund me set up for this family? IÃ¢â‚¬â„¢m justÃ¢â‚¬_ https://t.co/h1YRmupq3u,Not about the police
31GN6YMHLPTOFW4QSWRXYKRZM9MWSF,RT @SAssadNews: How often do #Chicago Police make arrests in rape cases? Here's a glimpse -- it's hit a 10-year low: https://t.co/317xWPxTwÃ¢â‚¬_,About the police - Positive
31HLTCK4BLW8A2VU7MSKN4PIRPQGV5,RT @NDILnews: Mother and 2 of Her Sons Among 11 Charged in Federal Drug &amp; Gun Probe in Chicago @FBIChicago @Chicago_Police https://t.co/VmVÃ¢â‚¬_,Not about the police
31HLTCK4BLW8A2VU7MSKN4PIRPQVGK,"Although Chicago draws a lot of attention due to its total number of murders, including a threat from the ExecutiveÃ¢â‚¬_ https://t.co/NWcyoKTyc1",Not about the police
31HLTCK4BLW8A2VU7MSKN4PIRPRGV6,RT @Michelewood50: I had the most amazing time with @ArmyGK and a couple of the bravest @ChicagoCAPS19 bosses jumping out of a plane on aÃ¢â‚¬_,About the police - Positive
31J7RYECZLR8AITXBZ5BT8NAY251L7,@ChuckCallesto @JamesAjames19 Get the police report and see who made the decision not to prosecute and have him fired like zFox in Chicago.,About the police - Negative
31J7RYECZLR8AITXBZ5BT8NAY261L8,Chicago Alderman Arrested For Filing A False Police Report. Will He Get The 'Smollett Deal'? https://t.co/S2kjZwcjTW,Not about the police
31JUPBOORN5QLIDIAKEQ8IAIC8C8LZ,"A synagogue in Chicago was targeted in an attempted act of arson, in which broken glass bottles and charred black cÃ¢â‚¬_ https://t.co/rR5kiv30Se",Not about the police
31KPKEKW4AEWQKM3O3CH108VHGLB0R,"RT @chicagobiennial: Reporters from @USATODAY, its 100-plus affiliated newsrooms, and Chicago-based nonprofit @invinst have spent more thanÃ¢â‚¬_",Not about the police
31KPKEKW4AEWQKM3O3CH108VHGM0BH,!! BEING STALKED BY FILTH INDIVIDUALS GANGS WORKING WITH CHICAGO/EVERGREEN PARK POLICE TO OPPRESS MY CIVIL RIGHTS PÃ¢â‚¬_ https://t.co/j2fC068BOa,About the police - Negative
31KSVEGZ34TCEH4DD7RS8AM3072WRQ,Suburban Chicago police issue warning about Ã¢â‚¬Å“zombie raccoonsÃ¢â‚¬Ã_ https://t.co/WiTpJ4o2mn,About the police - Positive
31KSVEGZ34TCEH4DD7RS8AM3073RWM,.@Chicago_Police have opened a new tech center to analyze video from disparate sources. #PublicSafety https://t.co/Z21OzgNicC,About the police - Positive
31KSVEGZ34TCEH4DD7RS8AM3073WRR,"Las Vegas police defend shifting timeline of shooting, warn it could change again - Chicago Tribune https://t.co/6yvMXuhFcO",About the police - Positive
31MBOZ6PAOSSXL3VRWUVA4612ZWCL8,"@CWBChicago @Chicago_Police So the DA will just drop the charges, right?",About the police - Positive
31MBOZ6PAOSSXL3VRWUVA4612ZWLCH,Police: Pregnant woman slain; baby cut from womb still alive #Chicago https://t.co/6ELApiLdng,Not about the police
31MBOZ6PAOSSXL3VRWUVA4612ZXCL9,@joeiskindabored @RUKUSmag @CWBChicago @emzanotti @Chicago_Police Awesome banter. Nicely done.,About the police - Positive
31MCUE39BKNOYTTBNCME49XZ05XG38,@nbcwashington Hey @Chicago_Police you may want to look into @GovernorKayIvey as a murder suspect. She enjoys rippiÃ¢â‚¬_ https://t.co/aav9dichV1,About the police - Positive
31MCUE39BKNOYTTBNCME49XZ05Y3GW,A man was shot near the Lakefront Trail on the South Side on Wednesday just as Chicago police planned to beef up paÃ¢â‚¬_ https://t.co/4tw5Icoa18,About the police - Negative
31N9JPQXIPJ92THWP1OBYN76KM1HNO,"Marlen Ochoa-Uriostegui, 19, who had gone to a Chicago home to pick up free baby clothes was strangled and her babyÃ¢â‚¬_ https://t.co/3X4T3lV6mU",About the police - Positive
31N9JPQXIPJ92THWP1OBYN76KM1NHU,"Infant ripped from womb of missing woman, police sources say https://t.co/TxUz3ZuLUr",About the police - Positive
31N9JPQXIPJ92THWP1OBYN76KM2HNP,"A passerby was able to film the drivers, who appeared to be about 10 years old, but they were nowhere to be found bÃ¢â‚¬_ https://t.co/3A1YQzGDYd",About the police - Positive
31ODACBENUGJVZ84GNSR6V9DY85QS5,@BringTheBeatIn @FBI @CIA @911 @Chicago_Police @USMC @USNavy @CoastGuardCAN @USArmy @usairforce @NASA She can mind her business,Not about the police
31ODACBENUGJVZ84GNSR6V9DY85SQ7,"MISSING: Taliyah Johnson, 14, has been reported missing and Chicago police said she was last seen leaving Chicago VÃ¢â‚¬_ https://t.co/1W01IIhZEC",Not about the police
31S7M7DAGGR9J256DIPLZE65QLWTL8,New Chicago mayor doesnÃ¢â‚¬â„¢t want Chicago police to protect her Ã¢â‚¬Ëœbecause itÃ¢â‚¬â„¢s a very dangerous time in our countryÃ¢â‚¬â„¢ -Ã¢â‚¬_ https://t.co/xZkhNTnQj5,About the police - Positive
31SIZS5W59G7UK8R1YSMGL4HC6MQRH,@Cubs @Suntimes @bbcworld @nytimes @sfgate @tmz @twitter @yahoonews @skynews @nola @latimes @facebook @foxnews @cbnÃ¢â‚¬_ https://t.co/9MVvPXOi72,Not about the police
31SIZS5W59G7UK8R1YSMGL4HC6MRQI,Police Seeking Six Suspects In CTA Red Line Attack On Sleeping Passenger #SmartNews https://t.co/FBYYNEiPWA,About the police - Neutral
31YWE12TE0DHLYPOEYP85C9A8XEX7L,"@laurie0424 @ChrisLoesch @WalshFreedom FordÃ¢â‚¬â„¢s injury stemmed from a Dec. 12, 2017, shooting that began with the theÃ¢â‚¬_ https://t.co/iXZoQeO18V",About the police - Negative
31YWE12TE0DHLYPOEYP85C9A8XF7XW,"""A 19-year-old pregnant woman who vanished last month was found dead in a Chicago home, authorities said. Police sÃ¢â‚¬_ https://t.co/zKsx3zZdS2",About the police - Negative
31YWE12TE0DHLYPOEYP85C9A8XFX7M,Incoming Chicago Mayor Has Path To Historic PoliceÃ‚ Reforms https://t.co/IH4CYgV8Be https://t.co/Gsr0xBI7f4,About the police - Negative
31YWE12TE0DHLYPOEYP85C9A8XG7XX,Lake County sheriffÃ¢â‚¬â„¢s sergeant graduates from NorthwesternÃ¢â‚¬â„¢s School of Police Staff and Command https://t.co/ow3HSOGEia,About the police - Neutral
32204AGAABD3S10A2XBG83Y9JAFHGG,CHICAGO Ã¢â‚¬â€ù Police and Illinois' child welfare agency say staff at a Chicago-area hospital didn't alert them after deÃ¢â‚¬_ https://t.co/TgTAL6tRsU,About the police - Neutral
32204AGAABD3S10A2XBG83Y9JAGHGH,Chicago Mayor Lori Lightfoot announced the hiring of several top officials and reiterated that some of Rahm EmanuelÃ¢â‚¬_ https://t.co/4FPbziKVBh,Not about the police
322ZSN9Z5GLDLUYL7QQ4DX4U4Z14TQ,Illinois: ChicagoÃ¢â‚¬â„¢s police arson unit are investigating 3 Molotov cocktails found outside a Lakeview East synagogueÃ¢â‚¬_ https://t.co/HpZEGTdPL1,About the police - Neutral
322ZSN9Z5GLDLUYL7QQ4DX4U4Z24TR,"I just got goosebumps watching this video. ""Holmes wants his legacy to live on in the memorial itself. Ã¢â‚¬Å“This is tÃ¢â‚¬_ https://t.co/xo4NcgJPmQ",Not about the police
324N5FAHSXCDCORDXDDZLWHBY67KVC,Staff at a Chicago-area hospital failed to alert police and Illinois child welfare officials after they determinedÃ¢â‚¬_ https://t.co/WQDYDV7qNT,About the police - Neutral
324N5FAHSXCDCORDXDDZLWHBY67VKN,@SUZYRUDI @RUKUSmag @CWBChicago @emzanotti @Chicago_Police You are very welcome.,About the police - Positive
329E6HTMSW3T0FPUD37T21PS7MEK3F,Chicago police have arrested one person in connection with the armed carjacking of a teacher in the parking lot atÃ¢â‚¬_ https://t.co/hafpL7HGfj,About the police - Neutral
329E6HTMSW3T0FPUD37T21PS7MF3KZ,"RT @EarlyReport: Simeon Career Academy Teen Senior Shot and Wounded at 31st Street Beach, Chicago: Chicago police, firefighters, and parameÃ¢â‚¬_",About the police - Neutral
329E6HTMSW3T0FPUD37T21PS7MFK3G,"In the other, ""America Under Watch,"" we show how police departments in Chicago and Detroit have been developing reaÃ¢â‚¬_ https://t.co/FrbbFlApI5",About the police - Positive
32CAVSKPCEQBT8GRKDXCKVJTBTXU1T,Meanwhile in Chicago Alderman Proco Joe Moreno was arrested for filing a false police report _Å¸__ Moreno ( Democrat )Ã¢â‚¬_ https://t.co/oLQeC77I7T,About the police - Negative
32CAVSKPCEQBT8GRKDXCKVJTBTY1U1,Chicago Heights | 10-1 | 606 Andover St | 200 person fight shots fired at police,About the police - Neutral
32CAVSKPCEQBT8GRKDXCKVJTBTYU1U,A pregnant woman who had gone to a Chicago home in response to a Facebook offer of free baby clothes was strangledÃ¢â‚¬_ https://t.co/i8mYNhVIXf,About the police - Positive
32CXT5U14G4T480CJY6RZ561PZ3U8D,Feds Confirm: Chicago Police Department Is as Corrupt as You Thought It Was https://t.co/5IukZ06xvX,About the police - Negative
32CXT5U14G4T480CJY6RZ561PZ4U8E,A heartfelt thank you to @DCPoliceDept @ArlingtonVaPD @CapitolPolice &amp; @SecretService for the incredible hospitalitÃ¢â‚¬_ https://t.co/2KobmLsw4p,About the police - Positive
32CXT5U14G4T480CJY6RZ561PZ58UT,"@MarkRiveraABC7 @ABC7Chicago ""Chicago police too dumb to resist silicon valley sales pitch"" is way more accurate",About the police - Negative
32FESTC2NHRVGBQP0AMW1R2KFQOUCJ,@joeiskindabored @SUZYRUDI @CWBChicago @emzanotti @Chicago_Police Most definitely... _Å¸â€˜Ã§_Å¸Ã¨__Å¸_â‚¬_Å¸â€¢Âº_Å¸Ã¨_,About the police - Positive
32FESTC2NHRVGBQP0AMW1R2KFQPCU2,@realDonaldTrump BEING FOLLOWED COVERTLY ELECTRONICALLY HARASSED POISONED &amp; SETUP TO BE FRAMED BY RACIST FBI USINGÃ¢â‚¬_ https://t.co/czIUQY6BzU,Not about the police
32FESTC2NHRVGBQP0AMW1R2KFQPUCK,@Bdwal359 @lander @Disencabulator @refinedmess @CJTS7006 ThatÃ¢â‚¬â„¢s not anger management issues. That is pointing outÃ¢â‚¬_ https://t.co/ORlJXDzmAB,Not about the police
32K26U12DNP5YIL35WRCHJMLEXADVS,"Chicago: Despite Increased Tax Revenue, New Mayor Faces Projected $740 Million Budget Shortfall. Retroactive payÃ¢â‚¬_ https://t.co/Rruwq5aAVK",Not about the police
32K26U12DNP5YIL35WRCHJMLEXAVDA,@Chicago_Police And the pipe band placed third _Å¸â€™â„¢,About the police - Neutral
32L724R85LL9194TBYJO2ODGKEHIPE,@360_Observer @CWBChicago @Chicago_Police SmoletteÃ¢â‚¬â„¢s Behavior was atrocious. HeÃ¢â‚¬â„¢s a liar and a #hatehoaxer! and heÃ¢â‚¬â„¢Ã¢â‚¬_ https://t.co/cvxRIWIF6Z,About the police - Negative
32L724R85LL9194TBYJO2ODGKEHPIL,Local lanes closed for police activity in #DanRyan on Dan Ryan Outbound between 47th St and Garfield Blvd #traffic #Chicago,About the police - Neutral
32L724R85LL9194TBYJO2ODGKEIPIM,Chicago police are questioning four people in connection with the disappearance of a 19-year-old pregnant woman.Ã¢â‚¬â€_ https://t.co/b3ZmmVKup5,About the police - Neutral
32LAQ1JNT9QC2SS0MWHMQ12O3CPTU2,Marlen Ochoa-Uriostegui was nine months pregnant when she went missing in April. Police confirmed persons of intereÃ¢â‚¬_ https://t.co/NOAvVyo80Y,About the police - Neutral
32LAQ1JNT9QC2SS0MWHMQ12O3CPUT3,RT @JudyHsuABC7: Breaking: LIVE NOW @ABC7Chicago... CHICAGO police sharing details of the disturbing murder of a 19 year old pregnant womanÃ¢â‚¬_,About the police - Neutral
32PT7WK7DMGLM9JKLML6YOU2NDHD3V,"Today was Rahm EmanuelÃ¢â‚¬â„¢s LAST day as mayor of Chicago. Lori Lightfoot, a former federal prosecutor who later led thÃ¢â‚¬_ https://t.co/ayNEmYwW0F",Not about the police
32PT7WK7DMGLM9JKLML6YOU2NDI3DM,Police and Illinois' child welfare agency say staff at a Chicago-area hospital didn't alert them after determiningÃ¢â‚¬_ https://t.co/G4OJlbIeO4,About the police - Negative
32TMVRKDGNZUNA6X4SF9M187QMG481,@JohnRSingleton They shot and killed two Chicago Police Officers. Nobody looks good here. Nobody won.,About the police - Neutral
32TMVRKDGNZUNA6X4SF9M187QMG845,@CWBChicago @Chicago_Police You need to be famous and have a high priced lawyer to get off in MAGA Country!,About the police - Negative
32TMVRKDGNZUNA6X4SF9M187QMH482,@ChicagoCAPS14 @CPDETD @Chicago_Police Happy to see brave people joining in the fight against crime,About the police - Positive
32TZXEA1OLLCCAMC576U7RLZCGA41H,More information from Rabbi David... https://t.co/6mORc1dabH,Not about the police
32TZXEA1OLLCCAMC576U7RLZCGB14F,Marlen Ochoa-Lopez was being shown a photo album at a Chicago home when a mother and daughter executed their sinistÃ¢â‚¬_ https://t.co/9UQkXOoNgY,Not about the police
32TZXEA1OLLCCAMC576U7RLZCGB41I,Incoming Chicago Mayor Has Path to Historic Police Reforms https://t.co/UXuHZb8JV8,About the police - Neutral
