HITId, inputtext,Answer.sentiment.label
30F94FBDNRLX6TJUM50RLBA0ERJBT4, molotov cocktail thrown chicago synagogu polic say huffpost,About the police - Positive
30IRMPJWDZKLJHAWOT8PKZS8D0TRKP, miss pregnant woman found dead babi forcibl remov womb polic say,About the police - Neutral
30IRMPJWDZKLJHAWOT8PKZS8D0UKRJ, q13fox three charg pregnant woman strangl babi cut womb chicago polic,Not about the police
30IRMPJWDZKLJHAWOT8PKZS8D0URKQ, cpeniv cwbchicago chicagopolic yup 10k 16 feloni that new crime deal sakimfoxx,About the police - Neutral
30OITAWPBQ4ODRD2OR56GMCMFXK9HH, cbschicago babi chase shot head three month ago make remark recoveri famili grate happi abou,Not about the police
30OITAWPBQ4ODRD2OR56GMCMFXKH9P, reviewjourn pregnant woman gone chicago home respons facebook offer free babi cloth strangl h,Not about the police
30OITAWPBQ4ODRD2OR56GMCMFXL9HI, chicagoarea polic warn zombi raccoon distemp associ press via nyt,Not about the police
30OITAWPBQ4ODRD2OR56GMCMFXLH9Q, historylvrsclub chicago policeman 1903 librari congress pic,About the police - Neutral
30P8I9JKOIMAU56AQQ9TJ7YT1GCV52, chicago polic search 14yearold girl miss citi far south side,About the police - Positive
30P8I9JKOIMAU56AQQ9TJ7YT1GD5VD, there damag build injuri report polic take incid serious,About the police - Neutral
30QQTY5GMKLP4UVT9TELL5A6EFXU7Q, warn watch zombi raccoon chicago area,Not about the police
30QQTY5GMKLP4UVT9TELL5A6EFY7U4, former chicago polic command plead guilti social secur theft,About the police - Positive
30QQTY5GMKLP4UVT9TELL5A6EFYU7R, chicagopolic ndilnew fbichicago deachicagodiv atfchicago state drop charg misdemeanor blame,About the police - Positive
30QQTY5GMKLP4UVT9TELL5A6EFZ7U5, rash fire polic say intent set jewish commun center chicago around boston la,Not about the police
30U1YOGZGAXP6Q4ZB1M76W2EFTGDSN, suspect found guilti polic offic 2010 shoot death associ press via nyt,About the police - Neutral
30U1YOGZGAXP6Q4ZB1M76W2EFTGSD2, stalk filth individu gang work chicagoevergreen park polic oppress civil right poi,About the police - Negative
30UZJB2POHDQIW4R6G3N0C6AAWJ53F, chicagopolic dcpolicedept arlingtonvapd capitolpolic secretservic team cpd warn,About the police - Positive
30UZJB2POHDQIW4R6G3N0C6AAWK35E, ald proco joe moreno charg insur fraud obstruct tell cop audi stolen block club,Not about the police
30UZJB2POHDQIW4R6G3N0C6AAWK53G, rahmemanuel black site cpd run read utter failur justic,About the police - Negative
30Y6N4AHYPXD5B4MWCM2GMXITRXDRZ, suntim full servic return,Not about the police
30Y6N4AHYPXD5B4MWCM2GMXITRXRDD, columbuspolic three cpd rider made washington dc st loui honor guard member sgt ben leppla amp offic nick,About the police - Neutral
30Z7M1Q8UYL9PZMEDTP0Z4U7IWC8AG, ford injuri stem dec 12 2017 shoot began then18yearold pull gun,Not about the police
30Z7M1Q8UYL9PZMEDTP0Z4U7IWCA8I, zombi raccoon suburban chicago test posit distemp contagi seriou diseas transmit,Not about the police
30Z7M1Q8UYL9PZMEDTP0Z4U7IWDA8J, theredlinecb ava awesom depict realiti chicagopolic,About the police - Positive
30ZKOOGW2W7REZ2TE8GLKU7Z4Q6A1Y, cwbchicago chicagopolic friend obama hed appar freed,Not about the police
30ZKOOGW2W7REZ2TE8GLKU7Z4Q71AQ, doiit congrat black queen king graduat chicago polic academi today,About the police - Positive
30ZKOOGW2W7REZ2TE8GLKU7Z4Q7A1Z, miss teen chicago polic search angela white 15 last seen chicago austin neighborhood,About the police - Neutral
311HQEI8RSH6QTP3FGDT2XPLGXD7ZT, babi chase mother thrill recoveri shoot frustrat polic investig everyon looki,About the police - Negative
311HQEI8RSH6QTP3FGDT2XPLGXDZ7L, chicago polic depart axon partner first vr empathi train program,About the police - Positive
311HQEI8RSH6QTP3FGDT2XPLGXE7ZU, realli hit chicago black gay mayor isnt afraid fight polic brutal citi,About the police - Positive
3126F2F5F84XL427FFTXH9FOSLAEP1, chicago polic review unsolv death 55 women possibl serial killer topbuzz,About the police - Neutral
3126F2F5F84XL427FFTXH9FOSLBEP2, new post chicago mayorelect want fed reopen laquan mcdonald polic coverup investig publish,About the police - Negative
3126F2F5F84XL427FFTXH9FOSLBPED, outgo ald proco joe moreno custodi chicago polic warrant feel,About the police - Neutral
31ANT7FQN835C4BQL1SP467KT115HM, chicagosmayor chicago polic contact man threaten suicid 45 minut fatal shoot,About the police - Negative
31ANT7FQN835C4BQL1SP467KT11H5Y, spokesperson famili 19yearold marlen ochoauriostegui said tip public led polic ch,About the police - Positive
31ANT7FQN835C4BQL1SP467KT12H5Z, new chicago mayor doesnt want chicago polic protect danger time countri,About the police - Negative
31D0ZWOD0A0R7AHBIPCL6POPZY0A0V, fed confirm chicago polic depart corrupt thought,About the police - Negative
31D0ZWOD0A0R7AHBIPCL6POPZY10AM, polic investig attempt arson lake view synagogu chicago,About the police - Neutral
31D0ZWOD0A0R7AHBIPCL6POPZY1A0W, 19yearold pregnant woman found dead babi cut womb polic,Not about the police
31GECDVA9JNLYJRNU1BQZLWUGIX663, greekgrl2005 shock twist disappear miss pregnant chicago teen,Not about the police
31GN6YMHLPTOFW4QSWRXYKRZM9LWSE, remain found amid search pregnant chicago woman vanish meetup swap babi item,Not about the police
31GN6YMHLPTOFW4QSWRXYKRZM9MSWB, katiekimnbc chicagopolic nbcchicago anyon know there go fund set famili im,Not about the police
31GN6YMHLPTOFW4QSWRXYKRZM9MWSF, sassadnew often chicago polic make arrest rape case here glimps hit 10year low,About the police - Positive
31HLTCK4BLW8A2VU7MSKN4PIRPQGV5, ndilnew mother 2 son among 11 charg feder drug amp gun probe chicago fbichicago chicagopolic,Not about the police
31HLTCK4BLW8A2VU7MSKN4PIRPQVGK, although chicago draw lot attent due total number murder includ threat execut,Not about the police
31HLTCK4BLW8A2VU7MSKN4PIRPRGV6, michelewood50 amaz time armygk coupl bravest chicagocaps19 boss jump plane,About the police - Positive
31J7RYECZLR8AITXBZ5BT8NAY251L7, chuckcallesto jamesajames19 get polic report see made decis prosecut fire like zfox chicago,About the police - Negative
31J7RYECZLR8AITXBZ5BT8NAY261L8, chicago alderman arrest file fals polic report get smollett deal,Not about the police
31JUPBOORN5QLIDIAKEQ8IAIC8C8LZ, synagogu chicago target attempt act arson broken glass bottl char black c,Not about the police
31KPKEKW4AEWQKM3O3CH108VHGLB0R, chicagobienni report usatoday 100plu affili newsroom chicagobas nonprofit invinst spent,Not about the police
31KPKEKW4AEWQKM3O3CH108VHGM0BH, stalk filth individu gang work chicagoevergreen park polic oppress civil right p,About the police - Negative
31KSVEGZ34TCEH4DD7RS8AM3072WRQ, suburban chicago polic issu warn zombi raccoon,About the police - Positive
31KSVEGZ34TCEH4DD7RS8AM3073RWM, chicagopolic open new tech center analyz video dispar sourc publicsafeti,About the police - Positive
31KSVEGZ34TCEH4DD7RS8AM3073WRR, la vega polic defend shift timelin shoot warn could chang chicago tribun,About the police - Positive
31MBOZ6PAOSSXL3VRWUVA4612ZWCL8, cwbchicago chicagopolic da drop charg right,About the police - Positive
31MBOZ6PAOSSXL3VRWUVA4612ZWLCH, polic pregnant woman slain babi cut womb still aliv chicago,Not about the police
31MBOZ6PAOSSXL3VRWUVA4612ZXCL9, joeiskindabor rukusmag cwbchicago emzanotti chicagopolic awesom banter nice done,About the police - Positive
31MCUE39BKNOYTTBNCME49XZ05XG38, nbcwashington hey chicagopolic may want look governorkayivey murder suspect enjoy rippi,About the police - Positive
31MCUE39BKNOYTTBNCME49XZ05Y3GW, man shot near lakefront trail south side wednesday chicago polic plan beef pa,About the police - Negative
31N9JPQXIPJ92THWP1OBYN76KM1HNO, marlen ochoauriostegui 19 gone chicago home pick free babi cloth strangl babi,About the police - Positive
31N9JPQXIPJ92THWP1OBYN76KM1NHU, infant rip womb miss woman polic sourc say,About the police - Positive
31N9JPQXIPJ92THWP1OBYN76KM2HNP, passerbi abl film driver appear 10 year old nowher found b,About the police - Positive
31ODACBENUGJVZ84GNSR6V9DY85QS5, bringthebeatin fbi cia 911 chicagopolic usmc usnavi coastguardcan usarmi usairforc nasa mind busi,Not about the police
31ODACBENUGJVZ84GNSR6V9DY85SQ7, miss taliyah johnson 14 report miss chicago polic said last seen leav chicago v,Not about the police
31S7M7DAGGR9J256DIPLZE65QLWTL8, new chicago mayor doesnt want chicago polic protect danger time countri,About the police - Positive
31SIZS5W59G7UK8R1YSMGL4HC6MQRH, cub suntim bbcworld nytim sfgate tmz twitter yahoonew skynew nola latim facebook foxnew cbn,Not about the police
31SIZS5W59G7UK8R1YSMGL4HC6MRQI, polic seek six suspect cta red line attack sleep passeng smartnew,About the police - Neutral
31YWE12TE0DHLYPOEYP85C9A8XEX7L, laurie0424 chrisloesch walshfreedom ford injuri stem dec 12 2017 shoot began,About the police - Negative
31YWE12TE0DHLYPOEYP85C9A8XF7XW, 19yearold pregnant woman vanish last month found dead chicago home author said polic,About the police - Negative
31YWE12TE0DHLYPOEYP85C9A8XFX7M, incom chicago mayor path histor polic reform,About the police - Negative
31YWE12TE0DHLYPOEYP85C9A8XG7XX, lake counti sheriff sergeant graduat northwestern school polic staff command,About the police - Neutral
32204AGAABD3S10A2XBG83Y9JAFHGG, chicago polic illinoi child welfar agenc say staff chicagoarea hospit didnt alert de,About the police - Neutral
32204AGAABD3S10A2XBG83Y9JAGHGH, chicago mayor lori lightfoot announc hire sever top offici reiter rahm emanuel,Not about the police
322ZSN9Z5GLDLUYL7QQ4DX4U4Z14TQ, illinoi chicago polic arson unit investig 3 molotov cocktail found outsid lakeview east synagogu,About the police - Neutral
322ZSN9Z5GLDLUYL7QQ4DX4U4Z24TR, got goosebump watch video holm want legaci live memori,Not about the police
324N5FAHSXCDCORDXDDZLWHBY67KVC, staff chicagoarea hospit fail alert polic illinoi child welfar offici determin,About the police - Neutral
324N5FAHSXCDCORDXDDZLWHBY67VKN, suzyrudi rukusmag cwbchicago emzanotti chicagopolic welcom,About the police - Positive
329E6HTMSW3T0FPUD37T21PS7MEK3F, chicago polic arrest one person connect arm carjack teacher park lot,About the police - Neutral
329E6HTMSW3T0FPUD37T21PS7MF3KZ, earlyreport simeon career academi teen senior shot wound 31st street beach chicago chicago polic firefight param,About the police - Neutral
329E6HTMSW3T0FPUD37T21PS7MFK3G, america watch show polic depart chicago detroit develop rea,About the police - Positive
32CAVSKPCEQBT8GRKDXCKVJTBTXU1T, meanwhil chicago alderman proco joe moreno arrest file fals polic report moreno democrat,About the police - Negative
32CAVSKPCEQBT8GRKDXCKVJTBTY1U1, chicago height 101 606 andov st 200 person fight shot fire polic,About the police - Neutral
32CAVSKPCEQBT8GRKDXCKVJTBTYU1U, pregnant woman gone chicago home respons facebook offer free babi cloth strangl,About the police - Positive
32CXT5U14G4T480CJY6RZ561PZ3U8D, fed confirm chicago polic depart corrupt thought,About the police - Negative
32CXT5U14G4T480CJY6RZ561PZ4U8E, heartfelt thank dcpolicedept arlingtonvapd capitolpolic amp secretservic incred hospitalit,About the police - Positive
32CXT5U14G4T480CJY6RZ561PZ58UT, markriveraabc7 abc7chicago chicago polic dumb resist silicon valley sale pitch way accur,About the police - Negative
32FESTC2NHRVGBQP0AMW1R2KFQOUCJ, joeiskindabor suzyrudi cwbchicago emzanotti chicagopolic definit,About the police - Positive
32FESTC2NHRVGBQP0AMW1R2KFQPCU2, realdonaldtrump follow covertli electron harass poison amp setup frame racist fbi use,Not about the police
32FESTC2NHRVGBQP0AMW1R2KFQPUCK, bdwal359 lander disencabul refinedmess cjts7006 that anger manag issu point,Not about the police
32K26U12DNP5YIL35WRCHJMLEXADVS, chicago despit increas tax revenu new mayor face project 740 million budget shortfal retroact pay,Not about the police
32K26U12DNP5YIL35WRCHJMLEXAVDA, chicagopolic pipe band place third,About the police - Neutral
32L724R85LL9194TBYJO2ODGKEHIPE, 360observ cwbchicago chicagopolic smolett behavior atroci he liar hatehoax,About the police - Negative
32L724R85LL9194TBYJO2ODGKEHPIL, local lane close polic activ danryan dan ryan outbound 47th st garfield blvd traffic chicago,About the police - Neutral
32L724R85LL9194TBYJO2ODGKEIPIM, chicago polic question four peopl connect disappear 19yearold pregnant woman,About the police - Neutral
32LAQ1JNT9QC2SS0MWHMQ12O3CPTU2, marlen ochoauriostegui nine month pregnant went miss april polic confirm person inter,About the police - Neutral
32LAQ1JNT9QC2SS0MWHMQ12O3CPUT3, judyhsuabc7 break live abc7chicago chicago polic share detail disturb murder 19 year old pregnant woman,About the police - Neutral
32PT7WK7DMGLM9JKLML6YOU2NDHD3V, today rahm emanuel last day mayor chicago lori lightfoot former feder prosecutor later led th,Not about the police
32PT7WK7DMGLM9JKLML6YOU2NDI3DM, polic illinoi child welfar agenc say staff chicagoarea hospit didnt alert determin,About the police - Negative
32TMVRKDGNZUNA6X4SF9M187QMG481, johnrsingleton shot kill two chicago polic offic nobodi look good nobodi,About the police - Neutral
32TMVRKDGNZUNA6X4SF9M187QMG845, cwbchicago chicagopolic need famou high price lawyer get maga countri,About the police - Negative
32TMVRKDGNZUNA6X4SF9M187QMH482, chicagocaps14 cpdetd chicagopolic happi see brave peopl join fight crime,About the police - Positive
32TZXEA1OLLCCAMC576U7RLZCGA41H, inform rabbi david,Not about the police
32TZXEA1OLLCCAMC576U7RLZCGB14F, marlen ochoalopez shown photo album chicago home mother daughter execut sinist,Not about the police
32TZXEA1OLLCCAMC576U7RLZCGB41I, incom chicago mayor path histor polic reform,About the police - Neutral
32W3UF2EZOMWZDWAL4VEON4QGD14C7, cwbchicago chicagopolic sinc file fals polic report crime chicago jussiesmollett amirit,About the police - Neutral
32W3UF2EZOMWZDWAL4VEON4QGD1C4F, bettymccollum04 peterbeinart jdforward guess make happi,Not about the police
32W3UF2EZOMWZDWAL4VEON4QGD24C8, ap apcentralregion chicago polic say newborn cut womb mother strangl th,About the police - Neutral
32W3UF2EZOMWZDWAL4VEON4QGD2C4G, pregnant chicago woman slain babi cut womb,Not about the police
32XN26MTXZK83T8FFG1BF340TA00L4, serious stop hook peopl stick polic drama leav romant crap,Not about the police
32XN26MTXZK83T8FFG1BF340TAZL0O, cstbreak updat woman kill chatham doubl shoot polic,Not about the police
32ZCLEW0BZL5WKOZTG4OEPSGXT6JPR, cwbchicago chicagopolic juss smollett reaction moreno receiv arrest warrant file fals po,About the police - Neutral
32ZCLEW0BZL5WKOZTG4OEPSGXT6PJX, daevz05 andyhal36787249 wish check chicago program abject failur mayor handcuff,Not about the police
32ZCLEW0BZL5WKOZTG4OEPSGXT7JPS, news us 3 arrest death pregnant woman chicago ap latest slayi,Not about the police
32ZCLEW0BZL5WKOZTG4OEPSGXT7PJY, male use note rob loop bank polic,Not about the police
334ZEL5JX6GGANVO1A0NHQEDJ7NOSV, chicago polic review unsolv death 55 women possibl serial killer,About the police - Negative
334ZEL5JX6GGANVO1A0NHQEDJ7NSOZ, cwbchicago chicagopolic what wrong file fals polic report jussiesmollett,About the police - Negative
335HHSX8CD60GHQJ07A82IVC6IZDH2, theft cold 9400 block n chicago ave portland portland polic pp19000167522 0742 pdx911,Not about the police
335HHSX8CD60GHQJ07A82IVC6IZHD6, man fatal shot chicago polic offic barricad situat prompt swat respons wednesd,About the police - Negative
335VBRURDJ1CTHM0YQX0VJF9NHS9E1, daili mail ad polic said also warrant aranda arrest illinoi assault stem fro,About the police - Neutral
335VBRURDJ1CTHM0YQX0VJF9NHSE96, sea blue washington honor famili fallen polic offic includ 470 chicagopolic offic stan,About the police - Positive
335VBRURDJ1CTHM0YQX0VJF9NHT9E2, chicagosfines19 cannot imagin chicago polic offic right would heartbeat im,About the police - Positive
336OE47KI2L47OLUMRW297B6LDFWVJ, chicagotribun chicagopolic incompet hell utter embarrass see hear wors fea,About the police - Negative
336OE47KI2L47OLUMRW297B6LDGVWJ, chicago alderman accus lie car stolen polic arrest chicago alderman charg allegin,About the police - Neutral
336OE47KI2L47OLUMRW297B6LDGWVK, marlen ochoalopez nine month pregnant went miss,Not about the police
337F8MIIMZEC5L1U9O2UTM2P7O440E, chicago polic depart s6e20 vostfr,About the police - Neutral
337F8MIIMZEC5L1U9O2UTM2P7O504B, eddi johnson like resign anoth hot chicago summer shoul,About the police - Negative
337F8MIIMZEC5L1U9O2UTM2P7O540F, mrfengi mickeyd1971 june sposato help organ polic live matter ralli design demonstr far northwest side resid,About the police - Positive
338431Z1FLG498VBML0IRG9HX54OR7, want thank bluebloodscb provid dad hour hour entertain retir chic,About the police - Positive
338431Z1FLG498VBML0IRG9HX54ROA, fed confirm chicago polic depart corrupt thought,About the police - Negative
338GLSUI43CM4AIV27HXUW5ZR6WFS0, incom chicago mayor path histor polic reform,About the police - Negative
338GLSUI43CM4AIV27HXUW5ZR6WSFD, brianaevigan2 brodnicki chicago went polic lo angel say pictur sant,About the police - Neutral
33BFF6QPI1CKVFJB2HQWQCJNUTNW3N, bonzo2351 nckmtclf altconserv shakoi1999 neverlandsurvi1 marjala2 westthebest07 dayzeechain,Not about the police
33BFF6QPI1CKVFJB2HQWQCJNUTO3WV, chicago polic investig scene person shot kill 7200 block south jefferi chicago,About the police - Negative
33CLA8O0MICA3VIINIHS4M0354DFRC, chicago alderman renew push elect polic oversight council,About the police - Positive
33CLA8O0MICA3VIINIHS4M0354DRFO, mickeyd1971 wbez lori lightfoot need follow polic issu linger rahmemanuel,About the police - Negative
33EEIIWHK78ZNRP8AIXWHITKXCZVQF, miss pregnant woman found dead babi forcibl remov womb polic say,Not about the police
33IXYHIZB5J1TX11DHILLW7VHBI2E2, miss pregnant woman found dead babi forcibl remov womb polic say,Not about the police
33IXYHIZB5J1TX11DHILLW7VHBIE2E, chicago polic tri identifi person seen surveil video earli sunday near synagogu tri use molot,About the police - Neutral
33IXYHIZB5J1TX11DHILLW7VHBJ2E3, daroff chicago polic investig attempt arson vandal near synagogu wgnnew,About the police - Neutral
33IXYHIZB5J1TX11DHILLW7VHBJE2F, trenoel polic reaction amp stadium gtlittl prevent program poc neighborhood known link lack educ lead po,About the police - Neutral
33J5JKFMK6ZFBINPQ8RQYN116S6Q3D, miss pregnant woman found slain babi cut womb chicago polic say,Not about the police
33J5JKFMK6ZFBINPQ8RQYN116S73QR, tribedboard editori lori lightfoot job set chicago expect intoler shoot kill poli,Not about the police
33K3E8REWWWLLCU7O3HEJC55JHKX88, trial suspect 2010 death polic offic begin associ press via nyt,About the police - Neutral
33K3E8REWWWLLCU7O3HEJC55JHLX89, polic say stray gunfir struck suburban school bu drop student museum scienc indust,Not about the police
33K3E8REWWWLLCU7O3HEJC55JHM8XL, juli882 cwbchicago chicagopolic forget jussiesmollet spend time jail,About the police - Neutral
33KGGVH24UI3ACAMPI8Z42IX5BEX1O, cwbchicago chicagopolic go chicago fals report,About the police - Negative
33KGGVH24UI3ACAMPI8Z42IX5BFX1P, miss eddwar nunez 15 left home may 10 school return accord aurora polic,Not about the police
33KGGVH24UI3ACAMPI8Z42IX5BG1XU, polic call unspeak act violenc 19yearold chicago woman 9 month pregnant respond,About the police - Neutral
33KMQD9OFJFN6JJXWLLABDWM640771, man murder exgirlfriend new partner northwest indiana polic,Not about the police
33KMQD9OFJFN6JJXWLLABDWM641772, cstbreak jose guerrero 75 last seen 630 saturday 2600 block north larami avenu accord missin,Not about the police
33N1S8XHHMMSF7A1Q0WK1NY8DBDZ1O, three peopl custodi connect slay pregnant chicago teen babi cut womb pol,Not about the police
33N1S8XHHMMSF7A1Q0WK1NY8DBE1ZR, chicagopolic chicago deep dish blow away nyc pizza,Not about the police
33NKDW9FFXJNXFKK5FXJLY1O986XCF, chicago alderman accus lie car stolen associ press polic arrest chicago,About the police - Neutral
33NOQL7T9O0AQ7UMPL5ZGXLGRHJZ88, michaelgmast jewish commun officialscn appreci hard work chicagopolic horribl attempt arso,About the police - Positive
33NOQL7T9O0AQ7UMPL5ZGXLGRHK8ZI, 4300 peopl murder chicago emanuel eight year mayor chang chi,Not about the police
33P2GD6NRNT8UNWTSOWV6VQ2QRWHKJ, irritatedwoman michelleinc chicago wont even get polic report,About the police - Neutral
33P2GD6NRNT8UNWTSOWV6VQ2QRWKHM, cbschicago person interest question case miss pregnant teen marlen ochoa accord chicago polic,About the police - Neutral
33P2GD6NRNT8UNWTSOWV6VQ2QRXHKK, iotprivacyforum chicago detroit purchas softwar carolina compani dataworksplu give polic abil id,About the police - Neutral
33P2GD6NRNT8UNWTSOWV6VQ2QRXKHN, polic believ pregnant woman went miss lure home chicago kill unborn child,About the police - Negative
33Q5P9PUSPNC2AKZ6XL4IJHZH84CZR, newborn critic condit polic say teen mother kill horrif attack chicago,About the police - Neutral
33Q5P9PUSPNC2AKZ6XL4IJHZH84ZCE, aw horribl tragic news come citi remain found home 4 question case missin,About the police - Positive
33QQ60S6ASJBMJV9OUTC6Q0J61RU0Q, drixand cpac back also appar settl socialist caucu,About the police - Positive
33QQ60S6ASJBMJV9OUTC6Q0J61SU0R, ivxvxcvi katiekimnbc chicagopolic nbcchicago reveng us wont bring back mother,About the police - Positive
33QQ60S6ASJBMJV9OUTC6Q0J61T0UY, allocin mon top 15 game throne handmaid tale station 19 grey anatomi castlerock stranger thing chamber,About the police - Positive
33TGB4G0LPI4JWMVR1S9A81SXU5TXT, polic armor vehicl swarm andov street chicago height,About the police - Neutral
33TGB4G0LPI4JWMVR1S9A81SXU6XTY, armor truck cop rifl crowd chicago height street,About the police - Positive
33W1NHWFYHMTORMASJGU7TH35U3ZTW, midnoircowboy juri reach verdict 2010 shoot death chicago polic offic michael bailey break,About the police - Positive
33W1NHWFYHMTORMASJGU7TH35U4TZR, chicagobreak anton carter found guilti kill offduti chicago polic offic michael bailey botch carjack 2010,About the police - Negative
33W1NHWFYHMTORMASJGU7TH35U4ZTX, activist group chicago suburb put billboard messag demand justic 34yearold woman shot,About the police - Negative
341H3G5YF0FS8IPJUHSKNIFY8J80ZN, polic pregnant chicago woman slain babi cut womb three custodi,About the police - Positive
341YLJU21I0D923N908C6B5N94P2IB, chicagocaps14 specialolymp dunkinchicago soillinoi chicagopolic happi stop donat sorri,About the police - Positive
341YLJU21I0D923N908C6B5N94PI2R, chicago polic search man suspect leav molotov cocktail synagogu,About the police - Neutral
341YLJU21I0D923N908C6B5N94Q2IC, gari ind man 33 sentenc 70 month distribut drug possess stolen 45 handgun f,About the police - Neutral
3421H3BM9AIK4X8SCR8RSZS1SPO9JM, symphkne chicago polic need increas patrol find pregnant mail carrier that miss sinc octob worri,About the police - Neutral
3421H3BM9AIK4X8SCR8RSZS1SPOJ9W, kfox14 author said marlen ochoa pregnant gone chicago home respons facebook offer free babi cloth,About the police - Neutral
3421H3BM9AIK4X8SCR8RSZS1SPP9JN, chicagopolic polic cia fbi pleas take ankl bracelet hitler today he control cana,About the police - Neutral
344M16OZKIGXIJQUZ0G5DKATS69EN5, view fraud northern il dist court 13cv2621 lawsuit complaint doc 28 comparison judg order doc 48 chica,About the police - Positive
344M16OZKIGXIJQUZ0G5DKATS69NEE, byldonovan chicagosmayor lightfoot chief bodi guard earn 166k per sourc undergo chicago polic train marie4congr,About the police - Neutral
344M16OZKIGXIJQUZ0G5DKATS6AEN6, bringthebeatin fbi cia 911 chicagopolic usmc usnavi coastguardcan usarmi look like go,About the police - Positive
34D9ZRXCYRVR8J1NRRV5GVU8UQJASI, cetsteadman chicagopolic white men cant jump,About the police - Neutral
34D9ZRXCYRVR8J1NRRV5GVU8UQJSA0, swat standoff jefferson park end nearli 4 hour polic,About the police - Positive
34F34TZU7W094DNTRITCICKNMJE2JN, today 4p incred resili famili rememb fallen chicago polic offic abc7chicago,About the police - Positive
34F34TZU7W094DNTRITCICKNMJEJ24, nuclear94 illinoi meteor chicago polic camera captur incred blaze firebal,About the police - Positive
34F34TZU7W094DNTRITCICKNMJF2JO, final amen polic countri one chicago work hard jusse smollett,About the police - Positive
